[ Info: 48_33: File for first layer exists [6], 17782794101; loading ...
[ Info: 48_33: layer 2/3, base field no. 137/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 137/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 138/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 138/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 139/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 139/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 140/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 140/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 141/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 141/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 142/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 142/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 143/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 143/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 144/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 144/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 145/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 145/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 146/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 146/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 147/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 147/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 148/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 148/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 149/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 149/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 150/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 150/241, checking fields: 1
[ Info: 48_33: layer 2/3, base field no. 150/241, 1/1
[ Info: 48_33: layer 2/3, base field no. 151/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 151/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 152/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 152/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 153/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 153/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 154/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 154/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 155/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 155/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 156/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 156/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 157/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 157/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 158/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 158/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 159/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 159/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 160/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 160/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 161/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 161/241, checking fields: 0
[ Info: 48_33: layer 2/3, base field no. 162/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 162/241, checking fields: 1
[ Info: 48_33: layer 2/3, base field no. 162/241, 1/1
[ Info: 48_33: layer 2/3, base field no. 163/241, constructing abelian extensions
[ Info: 48_33: layer 2/3, base field no. 163/241, checking fields: 0
